Current Time,Relative Time,Button Pushed,Zig ID,Zig X,Zig Y,Zig Z,Zig Qw,Zig Qx,Zig Qy,Zig Qz,P1 ID,P1 X,P1 Y,P1 Z,P1 Qw,P1 Qx,P1 Qy,P1 Qz,P2 ID,P2 X,P2 Y,P2 Z,P2 Qw,P2 Qx,P2 Qy,P2 Qz,Zig 1 ID,Zig 1 X,Zig 1 Y,Zig 1 Z,Zig 1 Yaw,Zig 1 Pitch,Zig 1 Distance,Zig 2 ID,Zig 2 X,Zig 2 Y,Zig 2 Z,Zig 2 Yaw,Zig 2 Pitch,Zig 2 Distance
2533.485169999,0.0,False,0,-0.999407,-0.000114,-0.005253,-0.034044,-0.098529,-0.073168,0.105181,1,0.947050,0.170309,-0.083493,0.259076,-0.700081,1.194395,0.238874,2,0.976318,-0.206510,0.059929,-0.023779,0.236831,1.282842,0.260012,2,-0.4894114136695862,1.2187050580978394,-0.014296812936663628,-21.87956306299672,-0.6237056491462817,1.3133811135095048,3,0.3683842122554779,1.286247730255127,-0.04107724502682686,15.981830515818057,-1.7585067039794577,1.3385916074309403
2533.531598,0.04642800100009481,False,0,-0.999408,-0.000093,-0.005254,-0.034012,-0.098529,-0.073170,0.105175,1,0.947116,0.169673,-0.083032,0.259401,-0.700215,1.193796,0.238867,2,0.976254,-0.206215,0.062557,-0.022160,0.244713,1.282536,0.260536,2,-0.487051397562027,1.2100269794464111,-0.012943584471940994,-21.925418392479607,-0.5685409132881449,1.3044354684055135,3,0.3870314955711365,1.270388126373291,-0.046008918434381485,16.943677249591868,-1.984180504898686,1.328832642122315
2533.579616999,0.09444699999994555,False,0,-0.999408,-0.000092,-0.005227,-0.034006,-0.098526,-0.073168,0.105181,1,0.947267,0.168746,-0.083482,0.259309,-0.700395,1.193299,0.238826,2,0.976126,-0.206134,0.065040,-0.021350,0.252122,1.282475,0.261166,2,-0.487051397562027,1.2100269794464111,-0.012943584471940994,-21.925418392479607,-0.5685409132881449,1.3044354684055135,3,0.3870314955711365,1.270388126373291,-0.046008918434381485,16.943677249591868,-1.984180504898686,1.328832642122315
2533.597983999,0.11281400000007125,False,0,-0.999408,-0.000091,-0.005252,-0.034012,-0.098525,-0.073167,0.105174,1,0.947353,0.168347,-0.083832,0.259140,-0.700545,1.192856,0.238781,2,0.976025,-0.206020,0.067803,-0.018281,0.260804,1.281503,0.261193,2,-0.487051397562027,1.2100269794464111,-0.012943584471940994,-21.925418392479607,-0.5685409132881449,1.3044354684055135,3,0.3870314955711365,1.270388126373291,-0.046008918434381485,16.943677249591868,-1.984180504898686,1.328832642122315
2533.630612999,0.14544299999988652,False,0,-0.999407,-0.000133,-0.005271,-0.034038,-0.098528,-0.073168,0.105176,1,0.947600,0.167476,-0.085089,0.258393,-0.700721,1.192538,0.238733,2,0.975940,-0.205617,0.070930,-0.015241,0.268854,1.280628,0.261063,2,-0.4902413785457611,1.2140100002288818,-0.012195020914077759,-21.98983585401743,-0.5336633011605,1.309314938595475,3,0.3839130401611328,1.2690675258636475,-0.03737066313624382,16.831397937189962,-1.6145024819338534,1.326392918433556
2533.686017999,0.20084799999995084,False,0,-0.999407,-0.000108,-0.005264,-0.034017,-0.098526,-0.073174,0.105180,1,0.947721,0.166984,-0.085371,0.258171,-0.700873,1.192307,0.238712,2,0.975923,-0.204654,0.074457,-0.012134,0.276831,1.279553,0.260692,2,-0.4902413785457611,1.2140100002288818,-0.012195020914077759,-21.98983585401743,-0.5336633011605,1.309314938595475,3,0.3839130401611328,1.2690675258636475,-0.03737066313624382,16.831397937189962,-1.6145024819338534,1.326392918433556
2533.724408999,0.23923899999999776,False,0,-0.999408,-0.000118,-0.005241,-0.034006,-0.098529,-0.073170,0.105175,1,0.947744,0.166745,-0.085335,0.258254,-0.700960,1.192217,0.238684,2,0.975953,-0.203396,0.077924,-0.008519,0.284624,1.278279,0.260199,2,-0.48773103952407837,1.2228953838348389,-0.013065260834991932,-21.743744969025578,-0.5685684297224617,1.3166341130931107,3,0.40079933404922485,1.2680444717407227,-0.03930192068219185,17.540532588026092,-1.692770365930908,1.3304591423474152
2533.770212999,0.2850429999998596,False,0,-0.999410,-0.000064,-0.005212,-0.033941,-0.098525,-0.073159,0.105178,1,0.947703,0.166103,-0.085135,0.258883,-0.701114,1.192477,0.238720,2,0.976249,-0.195781,0.092739,-0.002509,0.292826,1.277154,0.258507,2,-0.48773103952407837,1.2228953838348389,-0.013065260834991932,-21.743744969025578,-0.5685684297224617,1.3166341130931107,3,0.40079933404922485,1.2680444717407227,-0.03930192068219185,17.540532588026092,-1.692770365930908,1.3304591423474152
2533.785434999,0.3002649999998539,False,0,-0.999407,-0.000126,-0.005260,-0.034016,-0.098525,-0.073167,0.105178,1,0.947686,0.165085,-0.085095,0.259611,-0.701333,1.193055,0.238833,2,0.976211,-0.194252,0.096317,0.000166,0.299470,1.275656,0.257971,2,-0.48773103952407837,1.2228953838348389,-0.013065260834991932,-21.743744969025578,-0.5685684297224617,1.3166341130931107,3,0.40079933404922485,1.2680444717407227,-0.03930192068219185,17.540532588026092,-1.692770365930908,1.3304591423474152
2533.800440999,0.3152709999999388,False,0,-0.999408,-0.000108,-0.005246,-0.034003,-0.098528,-0.073172,0.105179,1,0.947650,0.164017,-0.084377,0.260652,-0.701637,1.193769,0.239071,2,0.976242,-0.192647,0.099158,0.002693,0.305491,1.274107,0.257442,2,-0.48773103952407837,1.2228953838348389,-0.013065260834991932,-21.743744969025578,-0.5685684297224617,1.3166341130931107,3,0.40079933404922485,1.2680444717407227,-0.03930192068219185,17.540532588026092,-1.692770365930908,1.3304591423474152
2533.828775999,0.3436059999999088,False,0,-0.999408,-0.000133,-0.005254,-0.034008,-0.098522,-0.073168,0.105173,1,0.947822,0.162064,-0.084972,0.261054,-0.702014,1.194879,0.239281,2,0.976469,-0.190206,0.101497,0.005294,0.310696,1.272592,0.256979,2,-0.48662856221199036,1.2172099351882935,-0.012645645067095757,-21.791044430645623,-0.5526969708033059,1.3109413778734582,3,0.4030555188655853,1.2716413736343384,-0.03784671425819397,17.58637156087743,-1.6251079629376939,1.3345253494058382
2533.885377999,0.40020800000002055,False,0,-0.999407,-0.000133,-0.005288,-0.034025,-0.098528,-0.073170,0.105178,1,0.948051,0.159833,-0.083494,0.262072,-0.702484,1.196520,0.239720,2,0.976791,-0.188377,0.101685,0.007391,0.316447,1.270837,0.256673,2,-0.48662856221199036,1.2172099351882935,-0.012645645067095757,-21.791044430645623,-0.5526969708033059,1.3109413778734582,3,0.4030555188655853,1.2716413736343384,-0.03784671425819397,17.58637156087743,-1.6251079629376939,1.3345253494058382
2533.896619,0.41144900100016457,False,0,-0.999408,-0.000133,-0.005254,-0.034009,-0.098527,-0.073171,0.105174,1,0.948316,0.157948,-0.083368,0.262296,-0.702851,1.197880,0.240019,2,0.977116,-0.186742,0.101532,0.007995,0.319967,1.269845,0.256533,2,-0.48662856221199036,1.2172099351882935,-0.012645645067095757,-21.791044430645623,-0.5526969708033059,1.3109413778734582,3,0.4030555188655853,1.2716413736343384,-0.03784671425819397,17.58637156087743,-1.6251079629376939,1.3345253494058382
2533.928272999,0.44310300000006464,False,0,-0.999408,-0.000092,-0.005271,-0.033996,-0.098527,-0.073170,0.105178,1,0.948406,0.156197,-0.082736,0.263218,-0.703248,1.199658,0.240324,2,0.977294,-0.185835,0.101406,0.008853,0.323634,1.268942,0.256426,2,-0.49263516068458557,1.2200630903244019,-0.011876196600496769,-21.987793716000226,-0.5171412235541524,1.3158208046540192,3,0.3893575668334961,1.263207197189331,-0.03544389829039574,17.13083515930819,-1.5359509666518272,1.3223267401846814
2533.998341999,0.5131719999999405,False,0,-0.999407,-0.000140,-0.005262,-0.034025,-0.098525,-0.073169,0.105176,1,0.948459,0.155068,-0.082147,0.263878,-0.703404,1.200830,0.240498,2,0.977567,-0.184546,0.101014,0.010136,0.325573,1.268483,0.256449,2,-0.49263516068458557,1.2200630903244019,-0.011876196600496769,-21.987793716000226,-0.5171412235541524,1.3158208046540192,3,0.3893575668334961,1.263207197189331,-0.03544389829039574,17.13083515930819,-1.5359509666518272,1.3223267401846814
2534.013692999,0.5285229999999501,False,0,-0.999408,-0.000109,-0.005263,-0.033996,-0.098527,-0.073170,0.105177,1,0.948386,0.154572,-0.081559,0.264613,-0.703481,1.201835,0.240627,2,0.977854,-0.183685,0.099747,0.010568,0.326586,1.268136,0.256635,2,-0.49299493432044983,1.2189174890518188,-0.021000199019908905,-22.02102184431685,-0.9150319484925153,1.3150075508303711,3,0.3816773295402527,1.2740237712860107,-0.036157120019197464,16.677382643323945,-1.5572860702256994,1.3304591279009252
2534.0639,0.5787300010001672,False,0,-0.999407,-0.000116,-0.005280,-0.034035,-0.098527,-0.073170,0.105173,1,0.948240,0.154934,-0.080564,0.265230,-0.703338,1.202501,0.240670,2,0.978172,-0.183375,0.097213,0.010146,0.326643,1.267932,0.256897,2,-0.49299493432044983,1.2189174890518188,-0.021000199019908905,-22.02102184431685,-0.9150319484925153,1.3150075508303711,3,0.3816773295402527,1.2740237712860107,-0.036157120019197464,16.677382643323945,-1.5572860702256994,1.3304591279009252
2534.089676,0.604506001000118,False,0,-0.999408,-0.000105,-0.005260,-0.034012,-0.098524,-0.073172,0.105180,1,0.947878,0.157282,-0.079744,0.265387,-0.702934,1.202849,0.240518,2,0.978677,-0.182944,0.092873,0.009866,0.325273,1.268028,0.257248,2,-0.49299493432044983,1.2189174890518188,-0.021000199019908905,-22.02102184431685,-0.9150319484925153,1.3150075508303711,3,0.3816773295402527,1.2740237712860107,-0.036157120019197464,16.677382643323945,-1.5572860702256994,1.3304591279009252
2534.105657999,0.620488000000023,False,0,-0.999409,-0.000120,-0.005255,-0.033985,-0.098532,-0.073167,0.105172,1,0.947680,0.158601,-0.079291,0.265444,-0.702539,1.202869,0.240330,2,0.978846,-0.183474,0.090163,0.008237,0.323326,1.268252,0.257456,2,-0.49299493432044983,1.2189174890518188,-0.021000199019908905,-22.02102184431685,-0.9150319484925153,1.3150075508303711,3,0.3816773295402527,1.2740237712860107,-0.036157120019197464,16.677382643323945,-1.5572860702256994,1.3304591279009252
2534.125734,0.6405640010002571,False,0,-0.999407,-0.000118,-0.005252,-0.034029,-0.098525,-0.073170,0.105177,1,0.947280,0.160606,-0.078142,0.266008,-0.701917,1.202836,0.239983,2,0.979034,-0.183974,0.087122,0.007492,0.320779,1.268702,0.257567,2,-0.49523356556892395,1.2259700298309326,-0.01700921729207039,-21.996364774441307,-0.7370214803227768,1.3223267795755542,3,0.37666091322898865,1.2779879570007324,-0.03863386809825897,16.42180711700985,-1.6609420248876046,1.3328988099468149
